171	2026-03-21 14:21:19	46695699552
170	2026-03-21 14:21:12	46696828678
169	2026-03-21 14:21:10	46696795749
168	2026-03-21 14:21:05	46697060186
167	2026-03-21 14:20:50	46693951100
166	2026-03-21 14:20:49	46696735446
165	2026-03-21 14:20:46	46697121986
164	2026-03-21 14:20:43	46696630453
163	2026-03-21 14:20:40	46696542231
162	2026-03-21 14:20:29	46696058728
161	2026-03-21 14:20:26	46695482567
160	2026-03-21 14:20:24	46696824445
159	2026-03-21 14:20:21	46695124657
158	2026-03-21 14:20:20	46697097906
157	2026-03-21 14:20:18	46693445408
156	2026-03-21 14:20:17	46695290999
155	2026-03-21 14:20:13	46696508593
154	2026-03-21 14:20:11	46695978831
153	2026-03-21 14:20:09	46696503001
152	2026-03-21 14:20:07	46694642885
151	2026-03-21 14:20:04	46696735889
150	2026-03-21 14:20:01	46698217516
149	2026-03-21 14:19:59	46696500808
148	2026-03-21 14:19:56	46696110452
147	2026-03-21 14:19:54	46696419284
146	2026-03-21 14:19:51	46695898187
145	2026-03-21 14:19:49	46695950643
144	2026-03-21 14:19:47	46695786444
143	2026-03-21 14:19:45	46696428350
142	2026-03-21 14:19:43	46696213853
141	2026-03-21 14:19:41	46696765303
140	2026-03-21 14:19:40	46693890276
139	2026-03-21 14:19:37	46696064284
138	2026-03-21 14:19:35	46695163397
137	2026-03-21 14:19:33	46695807181
136	2026-03-21 14:19:31	46695504311
135	2026-03-21 14:19:29	46694313861
134	2026-03-21 14:19:27	46693443260
133	2026-03-21 14:19:25	46695362037
132	2026-03-21 14:19:23	46695087191
131	2026-03-21 14:19:21	46695773373
130	2026-03-21 14:19:19	46695248027
129	2026-03-21 14:19:18	46696344458
128	2026-03-21 14:19:12	46695304161
127	2026-03-21 14:19:11	46693689020
126	2026-03-21 14:19:07	46696390890
125	2026-03-21 14:18:59	46698033805
124	2026-03-21 14:18:56	46694127331
123	2026-03-21 14:18:53	46695275557
122	2026-03-21 14:18:51	46694351473
121	2026-03-21 14:18:48	46694732284
120	2026-03-21 14:18:45	46694950910
119	2026-03-21 14:18:42	46695827948
118	2026-03-21 14:18:40	46696791999
117	2026-03-21 14:18:38	46694652659
116	2026-03-21 14:18:35	46698340134
115	2026-03-21 14:18:33	46696623729
114	2026-03-21 14:18:30	46698269016
113	2026-03-21 14:18:28	46693704756
112	2026-03-21 14:18:27	46696766025
111	2026-03-21 14:18:22	46694687776
110	2026-03-21 14:18:16	46695814696
109	2026-03-21 14:18:14	46697196101
108	2026-03-21 14:18:10	46694767127
107	2026-03-21 14:18:07	46696141391
106	2026-03-21 14:18:04	46696634620
105	2026-03-21 14:18:01	46696416169
104	2026-03-21 14:17:58	46697229754
103	2026-03-21 14:17:55	46695991792
102	2026-03-21 14:17:53	46695260565
101	2026-03-21 14:17:50	46695064006
100	2026-03-21 14:17:22	46694783303
99	2026-03-21 14:17:20	46696067123
98	2026-03-21 14:17:18	46696289944
97	2026-03-21 14:17:16	46698218560
96	2026-03-21 14:17:14	46696498091
95	2026-03-21 14:17:12	46695636411
94	2026-03-21 14:17:10	46696223113
93	2026-03-21 14:17:09	46696652531
92	2026-03-21 14:17:07	46696833142
91	2026-03-21 14:16:59	46694853409
90	2026-03-21 14:16:57	46696971304
89	2026-03-21 14:16:54	46696229989
88	2026-03-21 14:16:52	46696191535
87	2026-03-21 14:16:50	46697089188
86	2026-03-21 14:16:48	46698273120
85	2026-03-21 14:16:45	46693493408
84	2026-03-21 14:16:43	46694431110
83	2026-03-21 14:16:40	46697671779
82	2026-03-21 14:16:38	46693738183
81	2026-03-21 14:16:37	46694856363
80	2026-03-21 14:16:33	46698367028
79	2026-03-21 14:16:31	46693140447
78	2026-03-21 14:16:27	46696514119
77	2026-03-21 14:16:25	46695818657
76	2026-03-21 14:16:23	46695865418
75	2026-03-21 14:16:21	46696627580
74	2026-03-21 14:16:20	46697762500
73	2026-03-21 14:16:17	46695742041
72	2026-03-21 14:16:15	46698378642
71	2026-03-21 14:16:13	46696880344
70	2026-03-21 14:16:12	46698269490
69	2026-03-21 14:16:10	46696688319
68	2026-03-21 14:16:07	46693780905
67	2026-03-21 14:16:05	46694969530
66	2026-03-21 14:16:01	46695593035
65	2026-03-21 14:15:57	46693557274
64	2026-03-21 14:15:51	46696360491
63	2026-03-21 14:15:49	46570408052
62	2026-03-21 14:15:47	46695534413
61	2026-03-21 14:15:45	46693437421
60	2026-03-21 14:15:42	46697924307
59	2026-03-21 14:15:29	46695058590
58	2026-03-21 14:15:27	46696669966
57	2026-03-21 14:15:25	46696622866
56	2026-03-21 14:15:22	46696528508
55	2026-03-21 14:15:17	46695146701
54	2026-03-21 14:15:15	46695638278
53	2026-03-21 14:15:14	46696619956
52	2026-03-21 14:15:12	46694328165
51	2026-03-21 14:15:11	46694197099
50	2026-03-21 14:15:08	46697649300
