51	2026-03-21 12:12:46	GC2603210904528898
50	2026-03-21 12:12:44	GC2603213193016328
49	2026-03-21 12:12:43	GC2603211187659778
48	2026-03-21 12:12:42	GC2603212245607427
47	2026-03-21 12:12:06	JMX500282090435
46	2026-03-21 12:12:03	JMX600699480524
45	2026-03-21 12:12:00	JMX600698595145
44	2026-03-21 12:11:57	JMX600696961861
43	2026-03-21 12:11:53	JMX600699119488
42	2026-03-21 12:11:50	JMX600695183248
41	2026-03-21 12:11:48	JMX600694447885
40	2026-03-21 12:11:45	JMX600699719722
39	2026-03-21 12:11:42	JMX600687430181
38	2026-03-21 12:11:39	JMX500302133034
37	2026-03-21 12:11:35	JMX600696774395
36	2026-03-21 12:11:33	JMX600692606930
35	2026-03-21 12:11:30	JMX600696553025
34	2026-03-21 12:11:28	JMX500291804542
33	2026-03-21 12:11:25	JMX500292770025
32	2026-03-21 12:11:21	JMX600698133391
31	2026-03-21 12:11:19	JMX600696349919
30	2026-03-21 12:11:15	JMX600689460739
29	2026-03-21 12:11:12	JMX600694372855
28	2026-03-21 12:11:09	JMX600698284458
27	2026-03-21 12:11:07	JMX600696069465
26	2026-03-21 12:11:03	JMX600699515741
25	2026-03-21 12:10:59	JMX600696719895
24	2026-03-21 12:10:57	JMX600692526355
23	2026-03-21 12:10:56	JMX600699248454
22	2026-03-21 12:10:53	JMX600693706240
21	2026-03-21 12:10:51	JMX600690684667
20	2026-03-21 12:10:49	JMX600699729684
19	2026-03-21 12:10:47	JMX600699771198
18	2026-03-21 12:10:44	JMX101643071517
17	2026-03-21 12:10:43	JMX600698867683
16	2026-03-21 12:10:41	JMX600695708289
15	2026-03-21 12:10:37	JMX600697960084
14	2026-03-21 12:10:34	JMX600696828022
13	2026-03-21 12:10:31	JMX101648288559
12	2026-03-21 12:10:28	JMX600694006488
11	2026-03-21 12:10:25	JMX600698086666
10	2026-03-21 12:10:23	JMX101646966910
9	2026-03-21 12:10:20	JMX101649152496
8	2026-03-21 12:10:18	JMX101645330860
7	2026-03-21 12:10:16	JMX101647159571
6	2026-03-21 12:10:14	JMX600691541597
5	2026-03-21 12:10:12	JMX600683050885
4	2026-03-21 12:10:09	JMX600699327941
3	2026-03-21 12:10:07	JMX600698465590
2	2026-03-21 12:10:05	JMX101648906221
1	2026-03-21 12:10:03	JMX600696598058
